"Coverage over Time","Coverage"
"2000-01-01 00:00:00",3
"2001-01-01 00:00:00",0
"2002-01-01 00:00:00",2
"2003-01-01 00:00:00",5
"2004-01-01 00:00:00",3
"2005-01-01 00:00:00",1
"2006-01-01 00:00:00",0
"2007-01-01 00:00:00",1
"2008-01-01 00:00:00",4
"2009-01-01 00:00:00",1
"2010-01-01 00:00:00",8
"2011-01-01 00:00:00",4
"2012-01-01 00:00:00",2
"2013-01-01 00:00:00",6
"2014-01-01 00:00:00",10
"2015-01-01 00:00:00",4
"2016-01-01 00:00:00",1
"2017-01-01 00:00:00",6
"2018-01-01 00:00:00",4
"2019-01-01 00:00:00",2
"2020-01-01 00:00:00",4
"2021-01-01 00:00:00",3
"2022-01-01 00:00:00",3
"2023-01-01 00:00:00",3
"2024-01-01 00:00:00",6
"2025-01-01 00:00:00",2